,text,labels
0,Talks are also expected to focus on recent political developments in Pakistan .,O O O O O O O O O O O B-geo O
1,"President Bashir has resisted the deployment of United Nations peacekeepers to Darfur to support a 7,000-strong African Union mission .",B-per I-per O O O O O B-org I-org O O O O O O B-org I-org I-org O O
2,Iraq re-opened its embassy in Saudi Arabia last February .,B-geo O O O O B-geo I-geo O B-tim O
3,"Citing U.S. government documents and victims ' families , the Washington Post said the men have been abducted in raids led by Kurdish political parties and the detainees transferred secretly to prisons in Kurdish cities in northern Iraq .",O B-geo O O O O O O O O B-org I-org O O O O O O O O O O O O O O O O O O O O O O O O O B-geo O
4,Russia has authorized the United States to use its airspace for flights carrying troops and military supplies to Afghanistan .,B-geo O O O B-geo I-geo O O O O O O O O O O O O B-geo O
5,Several west African countries have reported cases of the virus .,O O B-gpe O O O O O O O O
6,"He says several countries , including Poland , Hungary and the Netherlands have volunteered to provide troops .",O O O O O O B-geo O B-geo O B-geo I-geo O O O O O O
7,Spain - which first brought tobacco back from America more than 500 years ago - has started off 2006 with new restrictions on smoking in public places .,B-gpe B-per O O O O O O B-geo O O O O O O O O O B-tim O O O O O O O O O
8,Five Americans who were detained and deported by China earlier this week for holding a pro-Tibetan independence demonstration on the base of Mount Everest say they feared for their lives while in Chinese custody .,O B-gpe O O O O O O B-geo O O O O O O O O O O O O O B-geo I-geo O O O O O O O O B-gpe O O
9,"The former prime minister is alleging widespread fraud in the hotly contested race , and has filed a number of complaints with the Supreme Court and electoral officials .",O O O O O O O O O O O O O O O O O O O O O O O B-org I-org O O O O
10,The find comes on the same day a bomb blast killed six soldiers and wounded several in the northern Jaffna peninsula .,O O O O O O O O O O O O O O O O O O O B-geo O O
11,"In a separate statement , 33 U.N. human rights experts expressed alarm at attempts by many countries to circumvent international human rights laws by giving new names to practices such as torture .",O O O O O O B-org O O O O O O O O O O O O O O O O O O O O O O O O O O
12,Cyprus joined the European Exchange Rate Mechanism ( ERM2 ) in May 2005 and adopted the euro as its national currency on 1 January 2008 .,B-geo O O B-org I-org I-org I-org O B-org O O B-tim I-tim O O O O O O O O O B-tim I-tim I-tim O
13,More than two million others have been driven from their homes .,O O O O O O O O O O O O
14,"Officials in London say they are aware of reports that the C-130 aircraft may have been shot down , but say they can not draw any conclusions until the investigation is complete .",O O B-geo O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
15,"He said that since the 1970s , "" the air 's cleaner , the land is better ... and the economy is growing . """,O O O O O B-tim O O O O O O O O O O O O O O O O O O O
16,"The pope suffers from Parkinson 's disease , which gradually affects control of the muscles , including those of the throat and chest .",O O O O B-geo O O O O O O O O O O O O O O O O O O O
17,"In a statement , the ministry said the woman , from Menoufia province in the Nile Delta , was admitted to a hospital on Saturday and died Monday .",O O O O O O O O O O O B-geo O O O B-org I-org O O O O O O O B-tim O O B-tim O
